STHO,1.8082,Real Estate Operating Companies
AAPL,1.3,"Technology Hardware, Storage and Peripherals"
MSFT,0.915,Systems Software
GOOG,1.09,Interactive Media and Services
GOOGL,1.09,Interactive Media and Services
AMZN,1.25,Broadline Retail
NVDA,1.76,Semiconductors
BRK.B,0.882,Multi-Sector Holdings
TSLA,2.07,Automobile Manufacturers
META,1.18,Interactive Media and Services
V,0.966,Transaction and Payment Processing Services
XOM,1.08,Integrated Oil and Gas
UNH,0.692,Managed Health Care
JNJ,0.534,Pharmaceuticals
WMT,0.488,Consumer Staples Merchandise Retail
JPM,1.11,Diversified Banks
PG,0.385,Household Products
MA,1.11,Transaction and Payment Processing Services
CVX,1.15,Integrated Oil and Gas
LLY,0.354,Pharmaceuticals
HD,0.934,Home Improvement Retail
ABBV,0.587,Biotechnology
MRK,0.353,Pharmaceuticals
KO,0.539,Soft Drinks and Non-alcoholic Beverages
AVGO,1.12,Semiconductors
PEP,0.542,Soft Drinks and Non-alcoholic Beverages
ORCL,1.01,Systems Software
PFE,0.59,Pharmaceuticals
BAC,1.41,Diversified Banks
TMO,0.787,Life Sciences Tools and Services
COST,0.788,Consumer Staples Merchandise Retail
CSCO,0.982,Communications Equipment
MCD,0.625,Restaurants
CRM,1.21,Application Software
NKE,1.11,Footwear
DHR,0.802,Life Sciences Tools and Services
DIS,1.3,Movies and Entertainment
ACN,1.24,IT Consulting and Other Services
ADBE,1.27,Application Software
TMUS,0.556,Wireless Telecommunication Services
ABT,0.666,Health Care Equipment
LIN,0.854,Industrial Gases
TXN,1.02,Semiconductors
UPS,1.08,Air Freight and Logistics
VZ,0.335,Integrated Telecommunication Services
CMCSA,1,Cable and Satellite
AMD,1.95,Semiconductors
NFLX,1.26,Movies and Entertainment
NEE,0.442,Electric Utilities
PM,0.717,Tobacco
MS,1.35,Investment Banking and Brokerage
BMY,0.448,Pharmaceuticals
RTX,0.74,Aerospace and Defense
QCOM,1.3,Semiconductors
WFC,1.17,Diversified Banks
