STHO,NasdaqGM:STHO,Star Holdings,Real Estate Operating Companies
AAPL,NasdaqGS:AAPL,Apple Inc.,"Technology Hardware, Storage and Peripherals"
MSFT,NasdaqGS:MSFT,Microsoft Corporation,Systems Software
GOOG,NasdaqGS:GOOG,Alphabet Inc.,Interactive Media and Services
GOOGL,NasdaqGS:GOOGL,Alphabet Inc.,Interactive Media and Services
AMZN,NasdaqGS:AMZN,"Amazon.com, Inc.",Broadline Retail
NVDA,NasdaqGS:NVDA,NVIDIA Corporation,Semiconductors
BRK.B,NYSE:BRK.B,Berkshire Hathaway Inc.,Multi-Sector Holdings
TSLA,NasdaqGS:TSLA,"Tesla, Inc.",Automobile Manufacturers
META,NasdaqGS:META,"Meta Platforms, Inc.",Interactive Media and Services
V,NYSE:V,Visa Inc.,Transaction and Payment Processing Services
XOM,NYSE:XOM,Exxon Mobil Corporation,Integrated Oil and Gas
UNH,NYSE:UNH,UnitedHealth Group Incorporated,Managed Health Care
JNJ,NYSE:JNJ,Johnson & Johnson,Pharmaceuticals
WMT,NYSE:WMT,Walmart Inc.,Consumer Staples Merchandise Retail
JPM,NYSE:JPM,JPMorgan Chase & Co.,Diversified Banks
PG,NYSE:PG,The Procter & Gamble Company,Household Products
MA,NYSE:MA,Mastercard Incorporated,Transaction and Payment Processing Services
CVX,NYSE:CVX,Chevron Corporation,Integrated Oil and Gas
LLY,NYSE:LLY,Eli Lilly and Company,Pharmaceuticals
HD,NYSE:HD,"The Home Depot, Inc.",Home Improvement Retail
ABBV,NYSE:ABBV,AbbVie Inc.,Biotechnology
MRK,NYSE:MRK,"Merck & Co., Inc.",Pharmaceuticals
KO,NYSE:KO,The Coca-Cola Company,Soft Drinks and Non-alcoholic Beverages
AVGO,NasdaqGS:AVGO,Broadcom Inc.,Semiconductors
PEP,NasdaqGS:PEP,"PepsiCo, Inc.",Soft Drinks and Non-alcoholic Beverages
ORCL,NYSE:ORCL,Oracle Corporation,Systems Software
PFE,NYSE:PFE,Pfizer Inc.,Pharmaceuticals
BAC,NYSE:BAC,Bank of America Corporation,Diversified Banks
TMO,NYSE:TMO,Thermo Fisher Scientific Inc.,Life Sciences Tools and Services
COST,NasdaqGS:COST,Costco Wholesale Corporation,Consumer Staples Merchandise Retail
CSCO,NasdaqGS:CSCO,"Cisco Systems, Inc.",Communications Equipment
MCD,NYSE:MCD,McDonald's Corporation,Restaurants
CRM,NYSE:CRM,"Salesforce, Inc.",Application Software
NKE,NYSE:NKE,"NIKE, Inc.",Footwear
DHR,NYSE:DHR,Danaher Corporation,Life Sciences Tools and Services
DIS,NYSE:DIS,The Walt Disney Company,Movies and Entertainment
ACN,NYSE:ACN,Accenture plc,IT Consulting and Other Services
ADBE,NasdaqGS:ADBE,Adobe Inc.,Application Software
TMUS,NasdaqGS:TMUS,"T-Mobile US, Inc.",Wireless Telecommunication Services
ABT,NYSE:ABT,Abbott Laboratories,Health Care Equipment
LIN,NYSE:LIN,Linde plc,Industrial Gases
TXN,NasdaqGS:TXN,Texas Instruments Incorporated,Semiconductors
UPS,NYSE:UPS,"United Parcel Service, Inc.",Air Freight and Logistics
VZ,NYSE:VZ,Verizon Communications Inc.,Integrated Telecommunication Services
CMCSA,NasdaqGS:CMCSA,Comcast Corporation,Cable and Satellite
AMD,NasdaqGS:AMD,"Advanced Micro Devices, Inc.",Semiconductors
NFLX,NasdaqGS:NFLX,"Netflix, Inc.",Movies and Entertainment
NEE,NYSE:NEE,"NextEra Energy, Inc.",Electric Utilities
PM,NYSE:PM,Philip Morris International Inc.,Tobacco
MS,NYSE:MS,Morgan Stanley,Investment Banking and Brokerage
BMY,NYSE:BMY,Bristol-Myers Squibb Company,Pharmaceuticals
RTX,NYSE:RTX,Raytheon Technologies Corporation,Aerospace and Defense
QCOM,NasdaqGS:QCOM,QUALCOMM Incorporated,Semiconductors
WFC,NYSE:WFC,Wells Fargo & Company,Diversified Banks
T,NYSE:T,AT&T Inc.,Integrated Telecommunication Services
INTC,NasdaqGS:INTC,Intel Corporation,Semiconductors
AMGN,NasdaqGS:AMGN,Amgen Inc.,Biotechnology
HON,NasdaqGS:HON,Honeywell International Inc.,Industrial Conglomerates
BA,NYSE:BA,The Boeing Company,Aerospace and Defense
INTU,NasdaqGS:INTU,Intuit Inc.,Application Software
UNP,NYSE:UNP,Union Pacific Corporation,Rail Transportation
AXP,NYSE:AXP,American Express Company,Consumer Finance
DE,NYSE:DE,Deere & Company,Agricultural and Farm Machinery
COP,NYSE:COP,ConocoPhillips,Oil and Gas Exploration and Production
LMT,NYSE:LMT,Lockheed Martin Corporation,Aerospace and Defense
SBUX,NasdaqGS:SBUX,Starbucks Corporation,Restaurants
LOW,NYSE:LOW,"Lowe's Companies, Inc.",Home Improvement Retail
IBM,NYSE:IBM,International Business Machines Corporation,IT Consulting and Other Services
CAT,NYSE:CAT,Caterpillar Inc.,Construction Machinery and Heavy Transportation Equipment
PLD,NYSE:PLD,"Prologis, Inc.",Industrial REITs
GS,NYSE:GS,"The Goldman Sachs Group, Inc.",Investment Banking and Brokerage
SPGI,NYSE:SPGI,S&P Global Inc.,Financial Exchanges and Data
ELV,NYSE:ELV,"Elevance Health, Inc.",Managed Health Care
SYK,NYSE:SYK,Stryker Corporation,Health Care Equipment
MDT,NYSE:MDT,Medtronic plc,Health Care Equipment
GE,NYSE:GE,General Electric Company,Industrial Conglomerates
AMAT,NasdaqGS:AMAT,"Applied Materials, Inc.",Semiconductor Materials and Equipment
GILD,NasdaqGS:GILD,"Gilead Sciences, Inc.",Biotechnology
BLK,NYSE:BLK,"BlackRock, Inc.",Asset Management and Custody Banks
BKNG,NasdaqGS:BKNG,Booking Holdings Inc.,"Hotels, Resorts and Cruise Lines"
ADI,NasdaqGS:ADI,"Analog Devices, Inc.",Semiconductors
SCHW,NYSE:SCHW,The Charles Schwab Corporation,Investment Banking and Brokerage
CVS,NYSE:CVS,CVS Health Corporation,Health Care Services
AMT,NYSE:AMT,American Tower Corporation,Telecom Tower REITs
MDLZ,NasdaqGS:MDLZ,"Mondelez International, Inc.",Packaged Foods and Meats
NOW,NYSE:NOW,"ServiceNow, Inc.",Systems Software
ADP,NasdaqGS:ADP,"Automatic Data Processing, Inc.",Human Resource and Employment Services
C,NYSE:C,Citigroup Inc.,Diversified Banks
TJX,NYSE:TJX,"The TJX Companies, Inc.",Apparel Retail
ISRG,NasdaqGS:ISRG,"Intuitive Surgical, Inc.",Health Care Equipment
EL,NYSE:EL,The Estée Lauder Companies Inc.,Personal Care Products
REGN,NasdaqGS:REGN,"Regeneron Pharmaceuticals, Inc.",Biotechnology
PYPL,NasdaqGS:PYPL,"PayPal Holdings, Inc.",Transaction and Payment Processing Services
PGR,NYSE:PGR,The Progressive Corporation,Property and Casualty Insurance
